NSC,SMILES
359,"Clc1ccc(Cl)c2Sc3c(Cl)cc(C#N)c(Cl)c3Nc12"
360,"CN(C)c1ccc(\C=C/C(=O)c2ccccc2)cc1"
361,"CCCCN(CCCC)C(=O)CC(C)(O)c1ccccc1"
362,"CCOC(=O)C(C#N)c1ccccc1"
363,"CN(C)C(c1ccccc1)c2ccccc2"
364,"OC(C(=O)c1ccc(Cl)cc1)c2ccc(Cl)cc2"
365,"CCCC(=O)CC(=O)CC(C)C"
366,"CCN(CC)CCCC#N"
367,"CCC(C(=O)OC)C(=O)c1ccccc1"
368,"CC(=O)Nc1ccc(cc1)C(=O)C(C(N2CCOCC2)c3ccccc3)N4CCOCC4"
369,"O=C(C(C(N1CCOCC1)C(=O)c2ccccc2)N3CCOCC3)c4ccccc4"
370,"O=C(\C=C\c1ccccc1)c2ccc(cc2)\N=C\c3ccccc3"
371,"Nc1ccc(cc1)C(=O)\C=C\c2ccccc2"
372,"CCC(=O)[N+](=O)c1ccc(cc1)C(=O)\C=C\c2ccc(cc2)N(C)C"
373,"CN(C)c1ccc(\C=C\C(=O)c2ccc(NC(=O)C)cc2)cc1"
374,"CCN(CC)c1ccc(\C=C\C(=O)c2ccc(NC(=O)C)cc2)cc1"
375,"CCCCOc1ccc(NCS(=O)O)cn1"
376,"Nc1ccc(cc1)S(=O)(=O)Nc2nccs2.C=O"
377,"OC1=C(CCCc2ccc(Oc3ccccc3)cc2)C(=O)c4ccccc4C1=O"
378,"OC(=O)c1cccnc1Cl"
379,"OC(=O)CSc1ccccc1C(=O)O"
380,"O=C1C2=C(CCCC2)C(=O)c3ccccc13"
381,"CCCCCN(CCCCC)CCCNc1c2CCCCc2nc3ccc(OC)cc13"
382,"CCCCN(CCCC)C(=N)c1c(C)cc(C)cc1C"
383,"Nc1ccc(cn1)C(=O)O"
384,"CCCCCN(CCCCC)CCCNc1c2CCCCc2nc3ccc(Cl)cc13"
385,"[O-][N+](=O)\C(=C\c1ccccc1)\c2ccccc2"
386,"OC(=O)c1c2ccccc2nc3ccccc13"
387,"CC1CCN(CC1)C(CC(=O)c2ccccc2)C(=O)c3ccccc3"
388,"[R]C([R])C(Cl)(Cl)Cl.[R][N+](=O)[O-].c1ccccc1"
389,"OCCNC(C(O)c1ccc(Cl)cc1)c2ccc(Cl)cc2"
390,"CC1CCCCN1C(CC(=O)c2ccccc2)C(=O)c3ccccc3"
391,"OCCNC(C(=O)c1ccc(Cl)cc1)c2ccc(Cl)cc2"
392,"CSc1nc(C)nc(SC)n1"
393,"[O-][N+](=O)N1C(=O)CCC1=O"
394,"[O-][N+](=O)N1C(=O)CCC1=O"
395,"[O-][N+](=O)N1C(=O)c2ccccc2C1=O"
396,"OCc1ccccc1.[O-][N+](=O)N2C(=O)c3ccccc3C2=O"
397,"CCCCC(CC)\C=C\c1ccc2ccccc2n1"
398,"O=P(c1ccccc1)(c2ccccc2)c3ccccc3"
399,"N#CCCn1c2ccccc2c3ccccc13"
400,"OC(=O)CCn1c2ccccc2c3ccccc13"
401,"OC(=O)Cc1ccccc1F"
402,"OC(=O)Cc1ccc(F)cc1"
403,"OC(=O)C1CCOCC1"
404,"OC(=O)C1(CCOCC1)C(=O)O"
405,"OC(c1ccccc1)c2nc3ccccc3[nH]2"
406,"OC(=O)C(Oc1ccccc1)Oc2ccccc2"
407,"CC(=O)c1ccc2c(c1)sc3ccccc23"
408,"CC(=O)c1ccc2c(c1)sc3cc(ccc23)C(=O)C"
409,"COC(=O)c1cccc(c1Br)[N+](=O)[O-]"
410,"O=S1(=O)c2ccccc2Oc3ccccc13"
411,"CCCCCCCCCCCCOc1ccc(cc1)C(=O)O"
412,"CC(CC\N=C/c1ccccc1O)\N=C\c2ccccc2O"
413,"CCSC1=NC(=O)C=C(N1)C=O"
414,"Cc1nc(C)c(CCNCCc2sc(C)nc2C)s1"
415,"NNC(=O)C1C(OC#[N+]N)C1C(=O)NN"
416,"CC(C)N(C(C)C)P(=O)(OP(=O)(N(C(C)C)C(C)C)c1ccc(cc1)[N+](=O)[O-])c2ccc(cc2)[N+](=O)[O-]"
417,"Nc1ccc(cc1)P(=O)(O)O"
418,"CC1NC(C)SC(C)S1"
419,"OP(=O)(O)c1cccc(c1)[N+](=O)[O-]"
420,"OP(=O)(O)c1ccc(cc1)[N+](=O)[O-]"
421,"CCOC(=O)C(C)(C)[Si](C)(C)C"
422,"CCOC(=O)C(C(C)C)C(=O)CC(C)C"
423,"OCCOc1ccc(Cl)cc1Cl"
424,"CCCCCCCCCCCCCCCCCC1=NCCN1"
425,"C(NCC1CCCO1)C2CCCO2"
426,"COc1cc(ccc1N)N=Nc2ccccc2OC"
427,"Oc1ccc(O)c(Cl)c1"
428,"C[N+](=O)[O-]"
429,"CCNC(=O)NCC"
430,"OC(=O)COc1cc(Cl)c(Cl)cc1Cl"
431,"Nc1ccccn1"
432,"Cl[Sb](Cl)(c1ccccc1)(c2ccccc2)c3ccccc3"
433,"CN(C)c1ccc(cc1)c2ccc(cc2)N(C)C"
434,"CNC1CCCCC1"
435,"ClC(c1ccccc1)(c2ccccc2)c3ccccc3"
436,"[I-].[R]C1C=Cc2ccccc2N1CC"
437,"OC(=O)CCS"
438,"Cc1ccccc1OP(=O)(Oc2ccccc2C)Oc3ccccc3C"
439,"S1c2ccccc2Sc3ccccc13"
440,"CCNC(=O)OCC"
441,"CC(C)(N)CO"
442,"CC\C(=N/O)\C"
443,"NCCNCCNCCN"
444,"CC(=O)Nc1ccc(Cl)cc1"
445,"CCCC(O)CN"
